# Realistic Markets: Almanac upgrade nodes.
# cost_cents is in cents ($40 = 4000). parents and grants are ;-separated.
# Grants: blueprint:<item id> (craftable at the Drafting Table), perk:<id> (applies to the account), guide:<id>.
# Tier gate: the first node bought in a tier needs at least half of the previous tier.
id,tier,cost_cents,parents,required_quest,grants,title
bill_clip,1,4000,,,blueprint:realisticmarkets:bill_clip;guide:cash_on_hand,Bill Clip
price_board,1,7500,,,blueprint:realisticmarkets:price_board;guide:reading_a_quote,Price Board
merchant_license,1,15000,,meet_the_spread,perk:merchant_license;guide:transaction_costs,Merchant License
trade_route_crate,1,25000,,,blueprint:realisticmarkets:trade_route_crate;guide:two_markets,Trade Route Crate
bank_vault,2,50000,,,blueprint:realisticmarkets:bank_vault;guide:interest_and_compounding,Bank Vault
certificate_of_deposit,2,120000,bank_vault,,perk:certificate_of_deposit;component:realisticmarkets:security_paper;guide:term_and_liquidity,Certificate of Deposit
loan_note,2,200000,bank_vault,,perk:loans;component:realisticmarkets:security_paper;guide:leverage_and_collateral,Loan Note
trading_floor,3,300000,,,blueprint:realisticmarkets:trading_floor;blueprint:realisticmarkets:order_slip;guide:order_books;guide:limit_and_market_orders,Trading Floor
newsstand,3,100000,,,blueprint:realisticmarkets:newsstand;guide:news_and_markets,Newsstand
ticker_tape,3,150000,trading_floor,,blueprint:realisticmarkets:ticker_tape;blueprint:realisticmarkets:market_board;guide:reading_a_chart,Ticker Tape
stock_exchange,4,1000000,,,blueprint:realisticmarkets:stock_exchange;component:realisticmarkets:engraved_plate;guide:owning_a_share;guide:valuing_a_company,Stock Exchange
electronic_newsfeed,4,200000,stock_exchange,,blueprint:realisticmarkets:electronic_newsfeed,Electronic Newsfeed
portfolio_binder,4,500000,stock_exchange,,blueprint:realisticmarkets:portfolio_binder;guide:custody,Portfolio Binder
safe_deposit_box,4,400000,,,blueprint:realisticmarkets:safe_deposit_box;guide:custody,Safe Deposit Box
bond_desk,5,2500000,,,blueprint:realisticmarkets:bond_desk;guide:bonds_and_yield;guide:interest_rate_risk,Bond Desk
digital_record_keeping,5,2000000,bank_vault;safe_deposit_box,,blueprint:realisticmarkets:records_terminal;blueprint:realisticmarkets:record_link;blueprint:realisticmarkets:ledger_display;component:realisticmarkets:display_screen;component:realisticmarkets:circuit_board;guide:net_worth,Digital Record Keeping
forward_contract,6,4000000,,,perk:forwards;component:realisticmarkets:security_paper;guide:hedging,Forward Contract
clearing_house,6,8000000,forward_contract,,blueprint:realisticmarkets:clearing_house;guide:futures_and_margin,Clearing House
options_desk,7,15000000,,,blueprint:realisticmarkets:options_desk;guide:options,Options Desk
volatility_board,7,8000000,options_desk,,blueprint:realisticmarkets:volatility_board;guide:volatility,Volatility Board
risk_report_module,7,6000000,digital_record_keeping,,blueprint:realisticmarkets:risk_report_module,Risk Report Module
atm,8,30000000,,,blueprint:realisticmarkets:atm;blueprint:realisticmarkets:bank_card;component:realisticmarkets:computer_chip;guide:electronic_money,ATM
pocket_atm,8,20000000,atm,,perk:pocket_atm,Pocket ATM
brokerage_terminal,8,50000000,,,blueprint:realisticmarkets:brokerage_terminal;component:realisticmarkets:computer_chip;guide:book_entry,Brokerage Terminal
